"date","sensor","staff","year"
2017-06-17,2.00154166666667,1.82154166666667,2017
2017-06-18,1.99325,1.81325,2017
2017-06-19,1.96420833333333,1.78420833333333,2017
2017-06-20,1.94483333333333,1.76483333333333,2017
2017-06-21,1.934375,1.754375,2017
2017-06-22,1.89725,1.71725,2017
2017-06-23,1.84908333333333,1.66908333333333,2017
2017-06-24,1.82029166666667,1.64029166666667,2017
2017-06-25,1.81270833333333,1.63270833333333,2017
2017-06-26,1.760125,1.580125,2017
2017-06-27,1.75741666666667,1.57741666666667,2017
2017-06-28,1.75933333333333,1.57933333333333,2017
2017-06-29,1.761125,1.581125,2017
2017-06-30,1.76229166666667,1.58229166666667,2017
2017-07-01,1.76120833333333,1.58120833333333,2017
2017-07-02,1.751625,1.571625,2017
2017-07-03,1.73945833333333,1.55945833333333,2017
2017-07-04,1.72783333333333,1.54783333333333,2017
2017-07-05,1.72383333333333,1.54383333333333,2017
2017-07-06,1.70870833333333,1.52870833333333,2017
2017-07-07,1.69979166666667,1.51979166666667,2017
2017-07-08,1.69658333333333,1.51658333333333,2017
2017-07-09,1.64279166666667,1.46279166666667,2017
2017-07-10,1.59533333333333,1.41533333333333,2017
2017-07-11,1.60004166666667,1.42004166666667,2017
2017-07-12,1.59795833333333,1.41795833333333,2017
2017-07-13,1.59983333333333,1.41983333333333,2017
2017-07-14,1.59345833333333,1.41345833333333,2017
2017-07-15,1.59241666666667,1.41241666666667,2017
2017-07-16,1.587375,1.407375,2017
2017-07-17,1.57995833333333,1.39995833333333,2017
2017-07-18,1.57508333333333,1.39508333333333,2017
2017-07-19,1.56370833333333,1.38370833333333,2017
2017-07-20,1.54941666666667,1.36941666666667,2017
2017-07-21,1.552625,1.372625,2017
2017-07-22,1.55866666666667,1.37866666666667,2017
2017-07-23,1.5605,1.3805,2017
2017-07-24,1.54654166666667,1.36654166666667,2017
2017-07-25,1.518125,1.338125,2017
2017-07-26,1.497,1.317,2017
2017-07-27,1.485625,1.305625,2017
2017-07-28,1.47029166666667,1.29029166666667,2017
2017-07-29,1.46566666666667,1.28566666666667,2017
2017-07-30,1.46145833333333,1.28145833333333,2017
2017-07-31,1.457125,1.277125,2017
2017-08-01,1.45825,1.27825,2017
2017-08-02,1.43158333333333,1.25158333333333,2017
2017-08-03,1.46965217391304,1.28965217391304,2017
2017-08-04,1.46858333333333,1.28858333333333,2017
2017-08-05,1.46766666666667,1.28766666666667,2017
